# reference: resvg 0.45.1 at 150 dpi on white; external PNGs as written by scripts/svg-compat.ps1; comparator: shift 1 px, value tol 2/255, tile 32 px, budget 8 px, conflation ink 96/255 within 2 px (excusal on the external side)
sample	renderer	size_external	size_resvg	defect_px	worst_tile	failing_tiles	verdict
corpus-00-polyline_with_pen-up	chromium	1755×1241	1754×1241	0	(54, 38, 0)	0	ok
corpus-00-polyline_with_pen-up	inkscape	1754×1240	1754×1241	0	(54, 38, 0)	0	ok
corpus-00-polyline_with_pen-up	rsvg	1754×1240	1754×1241	0	(54, 38, 0)	0	ok
corpus-01-rotation___scale___clip	chromium	1755×1241	1754×1241	0	(54, 38, 0)	0	ok
corpus-01-rotation___scale___clip	inkscape	1754×1240	1754×1241	0	(54, 38, 0)	0	ok
corpus-01-rotation___scale___clip	rsvg	1754×1240	1754×1241	0	(54, 38, 0)	0	ok
corpus-02-rotation___scale___clip	chromium	1241×1755	1241×1754	1	(31, 39, 1)	0	ok
corpus-02-rotation___scale___clip	inkscape	1240×1754	1241×1754	0	(38, 54, 0)	0	ok
corpus-02-rotation___scale___clip	rsvg	1240×1754	1241×1754	0	(38, 54, 0)	0	ok
corpus-03-rotation___scale___clip	chromium	1755×1241	1754×1241	0	(54, 38, 0)	0	ok
corpus-03-rotation___scale___clip	inkscape	1754×1240	1754×1241	1	(54, 0, 1)	0	ok
corpus-03-rotation___scale___clip	rsvg	1754×1240	1754×1241	1	(54, 0, 1)	0	ok
corpus-04-rotation___scale___clip	chromium	1241×1755	1241×1754	1	(7, 15, 1)	0	ok
corpus-04-rotation___scale___clip	inkscape	1240×1754	1241×1754	0	(38, 54, 0)	0	ok
corpus-04-rotation___scale___clip	rsvg	1240×1754	1241×1754	0	(38, 54, 0)	0	ok
corpus-05-dash_patterns	chromium	1755×1241	1754×1241	182	(0, 36, 27)	9	FAIL
corpus-05-dash_patterns	inkscape	1754×1240	1754×1241	177	(0, 36, 26)	9	FAIL
corpus-05-dash_patterns	rsvg	1754×1240	1754×1241	177	(0, 36, 26)	9	FAIL
corpus-06-pen_widths	chromium	1755×1241	1754×1241	0	(54, 38, 0)	0	ok
corpus-06-pen_widths	inkscape	1754×1240	1754×1241	0	(54, 38, 0)	0	ok
corpus-06-pen_widths	rsvg	1754×1240	1754×1241	0	(54, 38, 0)	0	ok
corpus-07-pen_widths	chromium	1755×1241	1754×1241	0	(54, 38, 0)	0	ok
corpus-07-pen_widths	inkscape	1754×1240	1754×1241	0	(54, 38, 0)	0	ok
corpus-07-pen_widths	rsvg	1754×1240	1754×1241	0	(54, 38, 0)	0	ok
corpus-08-pen_widths	chromium	1755×1241	1754×1241	1	(9, 36, 1)	0	ok
corpus-08-pen_widths	inkscape	1754×1240	1754×1241	585	(17, 36, 32)	19	FAIL
corpus-08-pen_widths	rsvg	1754×1240	1754×1241	585	(17, 36, 32)	19	FAIL
corpus-09-colour_adaptation	chromium	1755×1241	1754×1241	175	(4, 36, 32)	6	FAIL
corpus-09-colour_adaptation	inkscape	1754×1240	1754×1241	175	(4, 36, 32)	6	FAIL
corpus-09-colour_adaptation	rsvg	1754×1240	1754×1241	175	(4, 36, 32)	6	FAIL
corpus-10-colour_adaptation__transparency_on	chromium	1755×1241	1754×1241	175	(4, 36, 32)	6	FAIL
corpus-10-colour_adaptation__transparency_on	inkscape	1754×1240	1754×1241	175	(4, 36, 32)	6	FAIL
corpus-10-colour_adaptation__transparency_on	rsvg	1754×1240	1754×1241	175	(4, 36, 32)	6	FAIL
corpus-11-viewport_hatch_dots	chromium	1755×1241	1754×1241	1	(1, 37, 1)	0	ok
corpus-11-viewport_hatch_dots	inkscape	1754×1240	1754×1241	1	(1, 37, 1)	0	ok
corpus-11-viewport_hatch_dots	rsvg	1754×1240	1754×1241	1	(1, 37, 1)	0	ok
corpus-12-wire_fills	chromium	1755×1241	1754×1241	0	(54, 38, 0)	0	ok
corpus-12-wire_fills	inkscape	1754×1240	1754×1241	0	(54, 38, 0)	0	ok
corpus-12-wire_fills	rsvg	1754×1240	1754×1241	0	(54, 38, 0)	0	ok
