# reference: resvg 0.45.1 at 600 dpi on white; external PNGs as written by scripts/svg-compat.ps1; comparator: shift 1 px, value tol 2/255, tile 32 px, budget 8 px, conflation ink 96/255 within 2 px (excusal on the external side)
sample	renderer	size_external	size_resvg	defect_px	worst_tile	failing_tiles	verdict
corpus-00-polyline_with_pen-up	chromium	7016×4961	7016×4961	0	(219, 155, 0)	0	ok
corpus-00-polyline_with_pen-up	inkscape	7016×4961	7016×4961	0	(219, 155, 0)	0	ok
corpus-00-polyline_with_pen-up	rsvg	7016×4961	7016×4961	0	(219, 155, 0)	0	ok
corpus-01-rotation___scale___clip	chromium	7016×4961	7016×4961	0	(219, 155, 0)	0	ok
corpus-01-rotation___scale___clip	inkscape	7016×4961	7016×4961	0	(219, 155, 0)	0	ok
corpus-01-rotation___scale___clip	rsvg	7016×4961	7016×4961	0	(219, 155, 0)	0	ok
corpus-02-rotation___scale___clip	chromium	4961×7016	4961×7016	0	(155, 219, 0)	0	ok
corpus-02-rotation___scale___clip	inkscape	4961×7016	4961×7016	0	(155, 219, 0)	0	ok
corpus-02-rotation___scale___clip	rsvg	4961×7016	4961×7016	0	(155, 219, 0)	0	ok
corpus-03-rotation___scale___clip	chromium	7016×4961	7016×4961	0	(219, 155, 0)	0	ok
corpus-03-rotation___scale___clip	inkscape	7016×4961	7016×4961	0	(219, 155, 0)	0	ok
corpus-03-rotation___scale___clip	rsvg	7016×4961	7016×4961	0	(219, 155, 0)	0	ok
corpus-04-rotation___scale___clip	chromium	4961×7016	4961×7016	0	(155, 219, 0)	0	ok
corpus-04-rotation___scale___clip	inkscape	4961×7016	4961×7016	0	(155, 219, 0)	0	ok
corpus-04-rotation___scale___clip	rsvg	4961×7016	4961×7016	0	(155, 219, 0)	0	ok
corpus-05-dash_patterns	chromium	7016×4961	7016×4961	0	(219, 155, 0)	0	ok
corpus-05-dash_patterns	inkscape	7016×4961	7016×4961	0	(219, 155, 0)	0	ok
corpus-05-dash_patterns	rsvg	7016×4961	7016×4961	0	(219, 155, 0)	0	ok
